transaction_id,order_id,order_date,customer_id,product_id,region,quantity,unit_price,discount_pct,discount_amount,revenue,cogs
TRX0003618,ORD001605,2024-01-01,CUST0067,P003,Jawa Barat,4,15500,0.0,0.0,62000.0,52800
TRX0003619,ORD001605,2024-01-01,CUST0067,P011,Jawa Barat,19,11500,0.0287,6275.95,212224.05,169100
TRX0003620,ORD001605,2024-01-01,CUST0067,P004,Jawa Barat,4,3200,0.0829,1060.67,11739.33,9800
TRX0003621,ORD001605,2024-01-01,CUST0067,P013,Jawa Barat,11,13800,0.0302,4585.4,147214.6,116600
TRX0003622,ORD001605,2024-01-01,CUST0067,P006,Jawa Barat,5,9500,0.0106,504.33,46995.67,35500
TRX0004267,ORD001903,2024-01-01,CUST0167,P013,Jawa Barat,4,13800,0.0422,2326.77,52873.23,42400
TRX0005878,ORD002627,2024-01-01,CUST0159,P003,Jawa Timur,7,15500,0.0069,750.46,107749.54,92400
TRX0007034,ORD003152,2024-01-01,CUST0337,P001,Jawa Barat,5,18500,0.0008,75.9,92424.1,79000
TRX0008354,ORD003726,2024-01-01,CUST0185,P006,Jawa Barat,8,9500,0.0,0.0,76000.0,56800
TRX0008355,ORD003726,2024-01-01,CUST0185,P010,Jawa Barat,13,9800,0.0161,2046.18,125353.82,97500
TRX0008468,ORD003777,2024-01-01,CUST0196,P001,Bali,3,18500,0.0345,1915.15,53584.85,47400
TRX0008469,ORD003777,2024-01-01,CUST0196,P009,Bali,1,3800,0.0264,100.41,3699.59,2900
TRX0008918,ORD003979,2024-01-01,CUST0093,P002,Jawa Tengah,9,68000,0.0358,21901.11,590098.89,544500
TRX0013419,ORD006008,2024-01-01,CUST0395,P003,Jawa Timur,14,15500,0.0375,8147.46,208852.54,184800
TRX0013973,ORD006264,2024-01-01,CUST0366,P012,Jawa Barat,21,16500,0.05,17325.0,329175.0,275100
TRX0015048,ORD006733,2024-01-01,CUST0215,P002,Jawa Tengah,15,68000,0.0236,24085.19,995914.81,907500
TRX0015050,ORD006733,2024-01-01,CUST0215,P001,Jawa Tengah,6,18500,0.0365,4054.62,106945.38,94800
TRX0015051,ORD006733,2024-01-01,CUST0215,P009,Jawa Tengah,10,3800,0.0829,3151.63,34848.37,29000
TRX0015187,ORD006796,2024-01-01,CUST0252,P002,Jawa Tengah,4,68000,0.0389,10576.88,261423.12,242000
TRX0015188,ORD006796,2024-01-01,CUST0252,P003,Jawa Tengah,10,15500,0.0112,1734.13,153265.87,132000
TRX0015957,ORD007126,2024-01-01,CUST0461,P008,Sumatera Utara,3,19500,0.0744,4354.87,54145.13,49200
TRX0015958,ORD007126,2024-01-01,CUST0461,P005,Sumatera Utara,2,3000,0.018,108.22,5891.78,4600
TRX0016791,ORD007507,2024-01-01,CUST0420,P012,DKI Jakarta,3,16500,0.0261,1292.05,48207.95,39300
TRX0016792,ORD007507,2024-01-01,CUST0420,P005,DKI Jakarta,2,3000,0.0537,322.03,5677.97,4600
TRX0018346,ORD008188,2024-01-01,CUST0135,P014,Jawa Tengah,6,20000,0.033,3960.37,116039.63,93000
TRX0018347,ORD008188,2024-01-01,CUST0135,P002,Jawa Tengah,19,68000,0.0,0.0,1292000.0,1149500
TRX0018921,ORD008439,2024-01-01,CUST0164,P005,DKI Jakarta,3,3000,0.0434,390.99,8609.01,6900
TRX0019905,ORD008908,2024-01-01,CUST0475,P005,Sumatera Utara,2,3000,0.0,0.0,6000.0,4600
TRX0020217,ORD009048,2024-01-01,CUST0240,P004,Bali,11,3200,0.0287,1008.68,34191.32,26950
