customer_id,customer_name,segment,region,city,join_date
CUST0001,UD Prasasta,Online Reseller,Jawa Timur,Surabaya,2025-07-27
CUST0002,Perum Irawan,Mini Market,Banten,Tangerang,2024-04-27
CUST0003,PT Iswahyudi,Retail Store,Jawa Barat,Bogor,2025-06-03
CUST0004,Perum Napitupulu,Wholesaler,Jawa Barat,Bekasi,2024-04-22
CUST0005,CV Hassanah Rahmawati Tbk,Supermarket,DKI Jakarta,Jakarta Selatan,2025-10-19
CUST0006,CV Anggraini,Online Reseller,Jawa Barat,Bekasi,2026-01-29
CUST0007,CV Sirait Jailani,Retail Store,Sumatera Utara,Medan,2024-09-02
CUST0008,UD Situmorang,Retail Store,Jawa Barat,Cirebon,2023-12-06
CUST0009,PD Nasyiah,Mini Market,Jawa Tengah,Semarang,2025-06-18
CUST0010,PT Puspasari Sihombing Tbk,Retail Store,Jawa Timur,Kediri,2024-01-10
CUST0011,PT Wijayanti,Retail Store,DKI Jakarta,Jakarta Pusat,2025-05-20
CUST0012,PT Pradipta (Persero) Tbk,Retail Store,Jawa Tengah,Semarang,2024-05-02
CUST0013,UD Marpaung Uwais Tbk,Wholesaler,Jawa Timur,Surabaya,2024-10-16
CUST0014,PT Sudiati (Persero) Tbk,Mini Market,Jawa Barat,Bekasi,2024-04-12
CUST0015,CV Hariyah Wibowo,Retail Store,DKI Jakarta,Jakarta Selatan,2025-04-02
CUST0016,UD Hakim Pradana,Retail Store,DKI Jakarta,Jakarta Pusat,2024-06-17
CUST0017,PD Santoso (Persero) Tbk,Online Reseller,Jawa Barat,Cirebon,2026-02-11
CUST0018,CV Yolanda Tbk,Wholesaler,Bali,Denpasar,2024-04-14
CUST0019,CV Saptono Mandala (Persero) Tbk,Retail Store,Jawa Tengah,Tegal,2024-11-02
CUST0020,Perum Aryani Tbk,Mini Market,DKI Jakarta,Jakarta Selatan,2025-11-19
CUST0021,Perum Lailasari Iswahyudi,Mini Market,Jawa Barat,Depok,2024-09-26
CUST0022,CV Utami,Online Reseller,Jawa Barat,Cirebon,2025-12-01
CUST0023,Perum Haryanto Winarno Tbk,Supermarket,Jawa Tengah,Magelang,2024-02-18
CUST0024,Perum Ramadan Puspasari (Persero) Tbk,Mini Market,Jawa Tengah,Semarang,2025-06-09
CUST0025,Perum Santoso,Retail Store,DKI Jakarta,Jakarta Selatan,2025-09-09
CUST0026,PT Sihombing Tbk,Wholesaler,Bali,Gianyar,2025-12-15
CUST0027,UD Mardhiyah,Wholesaler,Sulawesi Selatan,Parepare,2024-02-16
CUST0028,UD Uyainah,Online Reseller,DKI Jakarta,Jakarta Timur,2025-12-08
CUST0029,CV Wahyudin Marpaung,Retail Store,Jawa Barat,Bekasi,2025-03-04
CUST0030,Perum Sinaga,Retail Store,Jawa Barat,Bekasi,2025-04-08
CUST0031,UD Samosir,Retail Store,Jawa Timur,Sidoarjo,2025-02-12
CUST0032,Perum Hutapea Hutasoit,Retail Store,Sumatera Utara,Medan,2024-05-15
CUST0033,Perum Mahendra,Mini Market,Jawa Tengah,Semarang,2025-11-05
CUST0034,Perum Marbun Saptono Tbk,Wholesaler,Jawa Barat,Depok,2024-01-14
CUST0035,UD Wacana Winarsih,Online Reseller,Jawa Barat,Bandung,2026-07-17
CUST0036,Perum Hartati Lazuardi (Persero) Tbk,Retail Store,Banten,Serang,2025-08-07
CUST0037,PT Rahmawati (Persero) Tbk,Wholesaler,Jawa Barat,Bogor,2024-04-29
CUST0038,PT Usamah,Supermarket,Banten,Cilegon,2025-06-01
CUST0039,PT Sitompul,Retail Store,Banten,Serang,2023-10-30
CUST0040,UD Winarsih Laksita,Retail Store,Jawa Tengah,Semarang,2023-11-12
CUST0041,Perum Permata Kusmawati,Mini Market,Sumatera Utara,Binjai,2024-04-17
CUST0042,PD Nainggolan Kuswoyo (Persero) Tbk,Retail Store,Jawa Tengah,Semarang,2024-05-19
CUST0043,PD Zulkarnain Tbk,Retail Store,Jawa Tengah,Tegal,2025-08-17
CUST0044,PT Halim,Mini Market,Banten,Tangerang,2026-03-29
CUST0045,PT Prayoga (Persero) Tbk,Mini Market,Sulawesi Selatan,Parepare,2024-11-09
CUST0046,CV Anggraini Najmudin Tbk,Supermarket,Jawa Barat,Cirebon,2024-03-22
CUST0047,PD Pudjiastuti,Mini Market,Banten,Serang,2025-01-14
CUST0048,PT Prakasa,Mini Market,Banten,Cilegon,2023-12-12
CUST0049,PD Prabowo Wacana (Persero) Tbk,Mini Market,DKI Jakarta,Jakarta Selatan,2024-02-25
CUST0050,PD Saptono,Retail Store,Jawa Barat,Bandung,2024-02-23
CUST0051,UD Anggraini Puspita Tbk,Mini Market,Jawa Barat,Bandung,2026-06-06
CUST0052,CV Hakim (Persero) Tbk,Mini Market,Jawa Tengah,Solo,2024-02-12
CUST0053,PT Padmasari,Retail Store,Sulawesi Selatan,Parepare,2025-11-23
CUST0054,PT Melani Hutapea,Supermarket,Jawa Timur,Surabaya,2025-01-30
CUST0055,Perum Hidayat,Retail Store,Jawa Tengah,Solo,2026-03-16
CUST0056,PD Lazuardi Purnawati,Retail Store,Jawa Tengah,Semarang,2025-09-04
CUST0057,Perum Hutapea,Wholesaler,Sulawesi Selatan,Parepare,2024-05-22
CUST0058,UD Putra Tbk,Wholesaler,DKI Jakarta,Jakarta Timur,2024-11-28
CUST0059,CV Winarsih Yuliarti Tbk,Retail Store,Sumatera Utara,Binjai,2024-05-14
CUST0060,PT Haryanti,Mini Market,Sulawesi Selatan,Parepare,2025-01-08
CUST0061,PT Nasyiah,Wholesaler,Sumatera Utara,Medan,2025-07-07
CUST0062,CV Tampubolon (Persero) Tbk,Retail Store,Jawa Tengah,Magelang,2024-04-16
CUST0063,UD Manullang Tbk,Mini Market,Jawa Tengah,Magelang,2026-04-15
CUST0064,Perum Yolanda (Persero) Tbk,Wholesaler,Sumatera Utara,Medan,2026-02-24
CUST0065,PT Mansur Tbk,Mini Market,Jawa Barat,Bogor,2025-08-27
CUST0066,Perum Mangunsong,Retail Store,Jawa Timur,Surabaya,2023-12-31
CUST0067,UD Putra Usada,Retail Store,Jawa Barat,Cirebon,2024-06-20
CUST0068,UD Habibi Iswahyudi Tbk,Retail Store,Sulawesi Selatan,Makassar,2026-03-17
CUST0069,PT Sitorus,Supermarket,Jawa Timur,,2026-02-20
CUST0070,CV Handayani Tbk,Online Reseller,Jawa Timur,Malang,2025-12-18
CUST0071,PT Maryadi,Retail Store,Bali,Gianyar,2025-05-02
CUST0072,Perum Puspasari (Persero) Tbk,Retail Store,Jawa Timur,Kediri,2025-04-15
CUST0073,UD Utama,Retail Store,Jawa Tengah,Magelang,2024-12-09
CUST0074,UD Pranowo,Mini Market,DKI Jakarta,,2026-05-07
CUST0075,UD Purwanti,Retail Store,Jawa Barat,Bogor,2025-09-11
CUST0076,Perum Mangunsong Prakasa (Persero) Tbk,Retail Store,Sulawesi Selatan,Makassar,2026-04-21
CUST0077,PD Dongoran Nugroho,Mini Market,Jawa Barat,Bekasi,2026-07-30
CUST0078,PD Winarsih (Persero) Tbk,Retail Store,Bali,Denpasar,2025-11-10
CUST0079,PD Firgantoro,Supermarket,DKI Jakarta,Jakarta Timur,2024-06-14
CUST0080,CV Haryanti Tampubolon,Supermarket,Jawa Tengah,Tegal,2026-03-24
CUST0081,CV Dongoran Wahyuni,Mini Market,Jawa Timur,Sidoarjo,2024-07-26
CUST0082,UD Hidayat Tbk,Mini Market,DKI Jakarta,Jakarta Pusat,2024-03-25
CUST0083,Perum Sitompul Dabukke (Persero) Tbk,Wholesaler,Jawa Barat,Bekasi,2024-09-14
CUST0084,CV Prastuti Tbk,Retail Store,Jawa Tengah,Magelang,2026-04-13
CUST0085,UD Sihotang Fujiati (Persero) Tbk,Mini Market,Jawa Barat,Bekasi,2023-10-07
CUST0086,UD Gunawan Fujiati,Retail Store,DKI Jakarta,Jakarta Barat,2024-10-21
CUST0087,UD Astuti Hidayat,Retail Store,Jawa Timur,Kediri,2023-08-28
CUST0088,Perum Sihotang (Persero) Tbk,Retail Store,DKI Jakarta,Jakarta Barat,2026-07-01
CUST0089,Perum Saragih Tbk,Retail Store,DKI Jakarta,Jakarta Selatan,2025-10-23
CUST0090,Perum Mahendra (Persero) Tbk,Retail Store,Sulawesi Selatan,Parepare,2024-08-18
CUST0091,CV Susanti Purnawati Tbk,Retail Store,Jawa Tengah,Solo,2024-11-29
CUST0092,UD Suwarno,Wholesaler,Sulawesi Selatan,Makassar,2024-11-13
CUST0093,PD Handayani Tbk,Supermarket,Jawa Tengah,Magelang,2024-04-13
